"tag1","tag2","count"
"classical-games","coordination",3
"coalitional-games","cooperative-gt",2
"decision-theory","expected-utility",2
"dominance","foundations",2
"bayesian-methods","incomplete-information",2
"auction-theory-deep-dive","mechanism-design",2
"classical-games","prisoners-dilemma",2
"incomplete-information","signaling-games",2
"foundations","subgame-perfection",2
"auction-formats","auction-theory-deep-dive",1
"bayes-nash","bayesian-games",1
"bayes-nash","bayesian-methods",1
"bayesian-games","bayesian-methods",1
"auction-theory-deep-dive","bayesian-nash",1
"auction-theory-deep-dive","bid-shading",1
"bayesian-nash","bid-shading",1
"behavioral-gt","bounded-rationality",1
"anti-coordination","chicken",1
"anti-coordination","classical-games",1
"axelrod","classical-games",1
"bank-runs","classical-games",1
"battle-of-the-sexes","classical-games",1
"blotto","classical-games",1
"chicken","classical-games",1
"arms-race","cold-war",1
"auction-theory-deep-dive","common-value-auctions",1
"axelrod","cooperation",1
"behavioral-gt","cooperation",1
"classical-games","cooperation",1
"banzhaf","cooperative-gt",1
"bargaining","cooperative-gt",1
"bank-runs","coordination",1
"battle-of-the-sexes","coordination",1
"bayesian-methods","coordination",1
"coalitional-games","core",1
"cooperative-gt","core",1
"coordination","correlated-equilibrium",1
"allais-paradox","decision-theory",1
"ai-ml-foundations-and-applications","deep-learning",1
"auctions","dominant-strategy",1
"classical-games","dominant-strategy",1
"causal-inference","endogeneity",1
"dominance","epistemic-game-theory",1
"coordination","equilibrium-concepts",1
"correlated-equilibrium","equilibrium-concepts",1
"anti-coordination","ess",1
"chicken","ess",1
"classical-games","ess",1
"decision-theory","ethics-and-game-theory",1
"algorithmic-fairness","ethics-applications",1
"deSolve","evolutionary-gt",1
"evolutionarily-stable-strategies","evolutionary-gt",1
"allais-paradox","expected-utility",1
"backward-induction","extensive-form",1
"coalitional-games","fair-division",1
"cooperative-gt","fair-division",1
"behavioral-gt","fairness",1
"bounded-rationality","fairness",1
"bank-runs","financial-economics",1
"classical-games","financial-economics",1
"coordination","financial-economics",1
"evolutionary-gt","finite-populations",1
"auction-theory-deep-dive","first-price-auction",1
"bayesian-nash","first-price-auction",1
"bid-shading","first-price-auction",1
"2x2-games","foundations",1
"backward-induction","foundations",1
"bargaining","foundations",1
"cooperative-gt","foundations",1
"coordination","foundations",1
"correlated-equilibrium","foundations",1
"epistemic-game-theory","foundations",1
"equilibrium-concepts","foundations",1
"extensive-form","foundations",1
"folk-theorem","foundations",1
"experimental-economics","free-riding",1
"colorblind-safe","ggplot2",1
"bayesian-methods","global-games",1
"coordination","global-games",1
"centrality","graph-theory",1
"auction-theory-deep-dive","gsp-auction",1
"anti-coordination","hawk-dove",1
"chicken","hawk-dove",1
"classical-games","hawk-dove",1
"ess","hawk-dove",1
"evolutionarily-stable-strategies","hawk-dove",1
"evolutionary-gt","hawk-dove",1
"ai-ml-foundations-and-applications","historical",1
"deep-learning","historical",1
"gibbard-satterthwaite","implementation-theory",1
"combinatorial-auctions","incentive-compatibility",1
"bayes-nash","incomplete-information",1
"bayesian-games","incomplete-information",1
"coordination","incomplete-information",1
"crisis-bargaining","incomplete-information",1
"foundations","incomplete-information",1
"global-games","incomplete-information",1
"auction-theory-deep-dive","information-economics",1
"common-value-auctions","information-economics",1
"entropy","information-theory",1
"causal-inference","instrumental-variables",1
"endogeneity","instrumental-variables",1
"bimatrix-games","interactive",1
"axelrod","iterated-games",1
"classical-games","iterated-games",1
"cooperation","iterated-games",1
"equilibrium-computation","lemke-howson",1
"coalitional-games","linear-programming",1
"cooperative-gt","linear-programming",1
"core","linear-programming",1
"foundations","linear-programming",1
"behavioral-economics","loss-aversion",1
"gale-shapley","market-design",1
"classical-games","matching-pennies",1
"history-of-gt-mathematics","mathematical-history",1
"linear-algebra-matrix","matrix-games",1
"algorithmic-fairness","mechanism-design",1
"auction-formats","mechanism-design",1
"auctions","mechanism-design",1
"case-studies","mechanism-design",1
"combinatorial-auctions","mechanism-design",1
"dominant-strategy","mechanism-design",1
"ethics-applications","mechanism-design",1
"gale-shapley","mechanism-design",1
"gibbard-satterthwaite","mechanism-design",1
"gsp-auction","mechanism-design",1
"implementation-theory","mechanism-design",1
"incentive-compatibility","mechanism-design",1
"market-design","mechanism-design",1
"foundations","minimax",1
"hypothesis-testing","minimax",1
"linear-programming","minimax",1
"2x2-games","mixed-strategies",1
"blotto","mixed-strategies",1
"classical-games","mixed-strategies",1
"foundations","mixed-strategies",1
"classical-games","mixed-strategy",1
"matching-pennies","mixed-strategy",1
"decision-theory","moral-uncertainty",1
"ethics-and-game-theory","moral-uncertainty",1
"evolutionary-gt","moran-process",1
"finite-populations","moran-process",1
"ml-and-gt","multi-agent",1
"battle-of-the-sexes","multiple-equilibria",1
"classical-games","multiple-equilibria",1
"coordination","multiple-equilibria",1
"bargaining","nash-bargaining",1
"cooperative-gt","nash-bargaining",1
"foundations","nash-bargaining",1
"2x2-games","nash-equilibrium",1
"bimatrix-games","nash-equilibrium",1
"foundations","nash-equilibrium",1
"interactive","nash-equilibrium",1
"mixed-strategies","nash-equilibrium",1
"network-formation","network-games",1
"centrality","network-science",1
"graph-theory","network-science",1
"ai-ml-foundations-and-applications","neural-networks",1
"deep-learning","neural-networks",1
"historical","neural-networks",1
"dominance","normal-form",1
"foundations","normal-form",1
"linear-algebra-matrix","numerical-methods",1
"matrix-games","numerical-methods",1
"auction-theory-deep-dive","online-advertising",1
"gsp-auction","online-advertising",1
"mechanism-design","online-advertising",1
"equilibrium-computation","optimization-numerical-methods",1
"lemke-howson","optimization-numerical-methods",1
"network-formation","pairwise-stability",1
"network-games","pairwise-stability",1
"ai-ml-foundations-and-applications","perceptron",1
"deep-learning","perceptron",1
"historical","perceptron",1
"neural-networks","perceptron",1
"foundations","perfect-bayesian-equilibrium",1
"incomplete-information","perfect-bayesian-equilibrium",1
"agent-based","prisoners-dilemma",1
"arms-race","prisoners-dilemma",1
"axelrod","prisoners-dilemma",1
"cold-war","prisoners-dilemma",1
"cooperation","prisoners-dilemma",1
"dominant-strategy","prisoners-dilemma",1
"iterated-games","prisoners-dilemma",1
"allais-paradox","prospect-theory",1
"behavioral-economics","prospect-theory",1
"decision-theory","prospect-theory",1
"expected-utility","prospect-theory",1
"loss-aversion","prospect-theory",1
"international-economics","public-apis-and-datasets",1
"behavioral-gt","public-goods",1
"cooperation","public-goods",1
"experimental-economics","public-goods",1
"free-riding","public-goods",1
"behavioral-gt","punishment",1
"cooperation","punishment",1
"public-goods","punishment",1
"devtools","r-package-development",1
"dominance","rationality",1
"foundations","rationality",1
"normal-form","rationality",1
"dominance","rationalizability",1
"epistemic-game-theory","rationalizability",1
"foundations","rationalizability",1
"arms-race","real-world-data-applications",1
"cold-war","real-world-data-applications",1
"crisis-bargaining","real-world-data-applications",1
"incomplete-information","real-world-data-applications",1
"prisoners-dilemma","real-world-data-applications",1
"ml-and-gt","reinforcement-learning",1
"multi-agent","reinforcement-learning",1
"quarto","renv",1
"folk-theorem","repeated-games",1
"foundations","repeated-games",1
"deSolve","replicator-dynamics",1
"evolutionary-gt","replicator-dynamics",1
"quarto","reproducibility",1
"renv","reproducibility",1
"quarto","reproducibility-open-science",1
"renv","reproducibility-open-science",1
"reproducibility","reproducibility-open-science",1
"blotto","resource-allocation",1
"classical-games","resource-allocation",1
"mixed-strategies","resource-allocation",1
"gibbard-satterthwaite","revelation-principle",1
"implementation-theory","revelation-principle",1
"mechanism-design","revelation-principle",1
"auction-formats","revenue-equivalence",1
"auction-theory-deep-dive","revenue-equivalence",1
"mechanism-design","revenue-equivalence",1
"decision-theory","risk-aversion",1
"expected-utility","risk-aversion",1
"classical-games","risk-dominance",1
"coordination","risk-dominance",1
"deSolve","rock-paper-scissors",1
"evolutionary-gt","rock-paper-scissors",1
"replicator-dynamics","rock-paper-scissors",1
"cryptography-and-gt","secret-sharing",1
"cryptography-and-gt","secure-computation",1
"secret-sharing","secure-computation",1
"banzhaf","shapley-shubik",1
"cooperative-gt","shapley-shubik",1
"coalitional-games","shapley-value",1
"cooperative-gt","shapley-value",1
"fair-division","shapley-value",1
"bimatrix-games","shiny-tutorial",1
"interactive","shiny-tutorial",1
"nash-equilibrium","shiny-tutorial",1
"crisis-bargaining","signaling-games",1
"foundations","signaling-games",1
"perfect-bayesian-equilibrium","signaling-games",1
"real-world-data-applications","signaling-games",1
"agent-based","simulations",1
"prisoners-dilemma","simulations",1
"classical-games","social-dilemma",1
"dominant-strategy","social-dilemma",1
"prisoners-dilemma","social-dilemma",1
"agent-based","spatial-games",1
"prisoners-dilemma","spatial-games",1
"simulations","spatial-games",1
"case-studies","spectrum-auctions",1
"mechanism-design","spectrum-auctions",1
"gale-shapley","stable-matching",1
"market-design","stable-matching",1
"mechanism-design","stable-matching",1
"classical-games","stag-hunt",1
"coordination","stag-hunt",1
"evolutionarily-stable-strategies","stag-hunt",1
"evolutionary-gt","stag-hunt",1
"hawk-dove","stag-hunt",1
"risk-dominance","stag-hunt",1
"hypothesis-testing","statistical-foundations",1
"minimax","statistical-foundations",1
"evolutionary-gt","stochastic-dynamics",1
"finite-populations","stochastic-dynamics",1
"moran-process","stochastic-dynamics",1
"backward-induction","subgame-perfection",1
"extensive-form","subgame-perfection",1
"folk-theorem","subgame-perfection",1
"repeated-games","subgame-perfection",1
"devtools","testthat",1
"r-package-development","testthat",1
"colorblind-safe","theme",1
"ggplot2","theme",1
"granger-causality","time-series-econometrics",1
"history-of-gt-mathematics","timeline",1
"mathematical-history","timeline",1
"decision-theory","trolley-problem",1
"ethics-and-game-theory","trolley-problem",1
"moral-uncertainty","trolley-problem",1
"behavioral-gt","ultimatum-game",1
"bounded-rationality","ultimatum-game",1
"fairness","ultimatum-game",1
"entropy","value-of-information",1
"information-theory","value-of-information",1
"granger-causality","VAR",1
"time-series-econometrics","VAR",1
"combinatorial-auctions","vcg",1
"incentive-compatibility","vcg",1
"mechanism-design","vcg",1
"auctions","vickrey",1
"dominant-strategy","vickrey",1
"mechanism-design","vickrey",1
"colorblind-safe","visualization-and-communication",1
"ggplot2","visualization-and-communication",1
"theme","visualization-and-communication",1
"decision-theory","vnm-axioms",1
"expected-utility","vnm-axioms",1
"risk-aversion","vnm-axioms",1
"banzhaf","voting-power",1
"cooperative-gt","voting-power",1
"shapley-shubik","voting-power",1
"international-economics","wdi",1
"public-apis-and-datasets","wdi",1
"auction-theory-deep-dive","winners-curse",1
"common-value-auctions","winners-curse",1
"information-economics","winners-curse",1
"international-economics","world-bank",1
"public-apis-and-datasets","world-bank",1
"wdi","world-bank",1
"classical-games","zero-sum",1
"foundations","zero-sum",1
"linear-programming","zero-sum",1
"matching-pennies","zero-sum",1
"minimax","zero-sum",1
"mixed-strategy","zero-sum",1
