"id","title","url","topic","tags","labels","date"
1,"Building the 2×2 Nash Equilibrium Explorer — a Shiny tutorial","shiny/tutorials/two-by-two-nash-explorer-tutorial/","shiny-tutorial","shiny-tutorial; nash-equilibrium; interactive; bimatrix-games","shiny-app; foundational-tool","2026-05-08"
2,"From Perceptron to deep learning — a historical R implementation","tutorials/ai-ml-foundations-and-applications/perceptron-to-deep-learning-historical-r-implementation/","ai-ml-foundations-and-applications","ai-ml-foundations-and-applications; neural-networks; perceptron; deep-learning; historical","ai-ml-history; neural-networks","2026-05-08"
3,"The ultimatum game — fairness, rejection, and bounded rationality","tutorials/behavioral-gt/ultimatum-game-fairness/","behavioral-gt","behavioral-gt; ultimatum-game; fairness; bounded-rationality","behavioral-experiments; fairness-norms","2026-05-08"
4,"Battle of the Sexes — coordination with conflicting preferences","tutorials/classical-games/battle-of-the-sexes/","classical-games","classical-games; battle-of-the-sexes; coordination; multiple-equilibria","canonical-games; coordination-games","2026-05-08"
5,"Chicken / Hawk-Dove — brinkmanship and anti-coordination","tutorials/classical-games/chicken-hawk-dove/","classical-games","classical-games; chicken; hawk-dove; anti-coordination; ess","canonical-games; conflict-games","2026-05-08"
6,"The iterated Prisoner's Dilemma — Axelrod's tournaments","tutorials/classical-games/iterated-prisoners-dilemma-axelrod/","classical-games","classical-games; prisoners-dilemma; iterated-games; axelrod; cooperation","canonical-games; repeated-games","2026-05-08"
7,"Matching Pennies — the simplest zero-sum game","tutorials/classical-games/matching-pennies/","classical-games","classical-games; matching-pennies; zero-sum; mixed-strategy","canonical-games; zero-sum-games","2026-05-08"
8,"The Prisoner's Dilemma — formal setup and dominant strategy analysis","tutorials/classical-games/prisoners-dilemma-formal/","classical-games","classical-games; prisoners-dilemma; dominant-strategy; social-dilemma","canonical-games; social-dilemmas","2026-05-08"
9,"The Stag Hunt — coordination, trust, and risk dominance","tutorials/classical-games/stag-hunt/","classical-games","classical-games; stag-hunt; coordination; risk-dominance","canonical-games; coordination-games","2026-05-08"
10,"The Shapley value — fair division of cooperative surplus","tutorials/cooperative-gt/shapley-value/","cooperative-gt","cooperative-gt; shapley-value; fair-division; coalitional-games","cooperative-solutions; fairness","2026-05-08"
11,"Expected utility theory and the von Neumann–Morgenstern axioms","tutorials/decision-theory/expected-utility-vnm-axioms/","decision-theory","decision-theory; expected-utility; vnm-axioms; risk-aversion","decision-foundations; utility-theory","2026-05-08"
12,"The Trolley Problem as a game under moral uncertainty","tutorials/ethics-and-game-theory/trolley-problem-as-game/","ethics-and-game-theory","ethics-and-game-theory; moral-uncertainty; trolley-problem; decision-theory","ethics; decision-under-uncertainty","2026-05-08"
13,"Replicator dynamics for Rock-Paper-Scissors with deSolve","tutorials/evolutionary-gt/replicator-dynamics-rps/","evolutionary-gt","evolutionary-gt; replicator-dynamics; rock-paper-scissors; deSolve","evolutionary-dynamics; cyclic-games","2026-05-08"
14,"Dominant strategies and iterated elimination of dominated strategies","tutorials/foundations/dominant-strategies-iterated-elimination/","foundations","foundations; dominance; rationality; normal-form","equilibrium-concepts; solution-concepts","2026-05-08"
15,"Extensive-form games and subgame-perfect equilibrium","tutorials/foundations/extensive-form-subgame-perfection/","foundations","foundations; extensive-form; subgame-perfection; backward-induction","equilibrium-concepts; sequential-games","2026-05-08"
16,"The Nash bargaining solution","tutorials/foundations/nash-bargaining-solution/","foundations","foundations; bargaining; nash-bargaining; cooperative-gt","equilibrium-concepts; cooperative-gt","2026-05-08"
17,"Mixed-strategy Nash equilibrium in 2×2 games","tutorials/foundations/nash-equilibrium-mixed/","foundations","foundations; nash-equilibrium; mixed-strategies; 2x2-games","normal-form; solution-concepts","2026-05-08"
18,"Zero-sum games and the minimax theorem","tutorials/foundations/zero-sum-minimax-theorem/","foundations","foundations; zero-sum; minimax; linear-programming","equilibrium-concepts; classical-results","2026-05-08"
19,"The Vickrey (second-price) auction — truth-telling as a dominant strategy","tutorials/mechanism-design/vickrey-second-price-auction/","mechanism-design","mechanism-design; auctions; vickrey; dominant-strategy","mechanism-design; auction-theory","2026-05-08"
20,"World Bank WDI — economic indicators for game-theoretic analysis","tutorials/public-apis-and-datasets/world-bank-wdi-economic-indicators/","public-apis-and-datasets","public-apis-and-datasets; world-bank; wdi; international-economics","data-sources; international-economics","2026-05-08"
21,"The Cuban Missile Crisis as a signaling game","tutorials/real-world-data-applications/cuban-missile-crisis-signaling-game/","real-world-data-applications","real-world-data-applications; signaling-games; incomplete-information; crisis-bargaining","applied-gt; political-science","2026-05-08"
22,"Spatial Prisoner's Dilemma on a lattice — Nowak & May 1992","tutorials/simulations/spatial-prisoners-dilemma-nowak-may/","simulations","simulations; prisoners-dilemma; spatial-games; agent-based","spatial-dynamics; cooperation","2026-05-08"
23,"Publication-ready ggplot2 figures with theme_publication()","tutorials/visualization-and-communication/publication-ready-ggplot-theme/","visualization-and-communication","visualization-and-communication; ggplot2; theme; colorblind-safe","visualization; reproducible-style","2026-05-08"
